object,ra,dec
SN 2011P,02:25:44.801,+16:12:56.02
SN 2011A,13:01:01.190,-14:31:34.79
SN 2010mc,17:21:30.679,+48:07:47.39
SN 2010lx,04:44:44.570,-22:12:19.12
SN 2010kb,08:20:47.410,+35:53:37.50
SN 2010jy,23:09:43.579,+05:41:56.18
SN 2010js,08:16:49.639,+60:29:46.00
SN 2010jp,06:16:30.629,-21:24:36.29
SN 2010jl,09:42:53.330,+09:29:41.78
SN 2010jk,01:12:35.630,+15:28:28.49
SN 2010jj,02:06:52.229,+44:34:17.51
SN 2010hd,22:41:51.840,-46:05:45.38
SN 2010bt,12:48:20.220,-34:57:16.49
SN 2010bq,16:46:55.409,+34:09:35.39